Swap ID,Installation ID,Former Transmitter ID,New Transmitter ID,New Transmitter Mac address,New Transmitter Type,New Transmitter data Status,Status,User,Date Time
Sd8480b2d,WMB22BE00004186411c7d05f1724f529f81148Motor Inboard Horizontal - 0418*,WMB22BE0000418,WMB22BE0000418,,,,To do,norman.mcdonald@icareweb.com,2023-09-25 07:24:48
S4b40d9fa,WMB22BE00022736411c7d05f1724f529f81148Pump Outboard Horizontal - 2273*,WMB22BE0002273,WMB22BE0002273,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:26:20
Sef21b973,WMB22BE00017076411c7d05f1724f529f8113eMotor Outboard Vertical - 1707,WMB22BE0000240,WMB22BE0000240,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:32:56
Sf45611d8,WMB22BE00026756411c7d05f1724f529f8113ePump Outboard Vertical - 2675,WMB22BE0002675,WMB22BE0002675,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:34:57
S0a4aded0,WMB22BE00012076411c7d05f1724f529f8106aMotor Outboard Vertical - 1207*,WMB22BE0001207,WMB22BE0001207,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:41:39
S9ce6164b,WMB22BE00009536411c7d05f1724f529f81076Fan Inboard Triax - 0953*,WMB22BE0000953,WMB22BE0000953,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:44:31
S5a75e870,WMB22BE00004106411c7d05f1724f529f81059Motor Outboard Horizontal - 0410,WMB22BE0000410,WMB22BE0000410,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:48:55
Sf8ed72c8,WMB22BE00011346411c7d05f1724f529f81059Motor Inboard Triax - 1134,WMB22BE0001134,WMB22BE0001134,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:51:02
S15a3849f,WMB22BE00010526411c7d05f1724f529f81059Fan Inboard Triax - 1052*,WMB22BE0001052,WMB22BE0001052,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:52:18
Sadbfc54b,WMB22BE00015966411c7d05f1724f529f81059Fan Outboard Vertical - 1596*,WMB22BE0001596,WMB22BE0001596,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:54:29
S24ca56ce,WMB22BE00012916411c7d05f1724f529f8106aFan Outboard Horizontal - 1291*,WMB22BE0001291,WMB22BE0001291,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:56:38
Se01a1029,WMB22BE00002576411c7d05f1724f529f81076Motor Outboard Vertical - 0257*,WMB22BE0000257,WMB22BE0000257,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 07:59:56
Sa23b1881,WMB22BE00009776411c7d05f1724f529f81076Motor Inboard Triax - 0977*,WMB22BE0000977,WMB22BE0000977,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:00:53
S06513a3d,WMB22BE00004196411c7d05f1724f529f81055Motor Inboard Vertical - 0419*,WMB22BE0000419,WMB22BE0000419,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:08:01
Sda6a526a,Idd932c85,WMB22BE0000419,WMB22BE0000419,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:10:23
S603a81ac,Ia0bc8b56,WMB22BE0000413,WMB22BE0000413,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:19:55
Saf08c749,WMB22BE00004136411c7d05f1724f529f81162Motor Inboard Vertical - 0413,WMB22BE0001651,WMB22BE0001651,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:21:24
Sa6334a7b,WMB22BE00002436411c7d05f1724f529f81162Pump Outboard Vertical - 0243,WMB22BE0000243,WMB22BE0000243,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:22:52
Sd0adb03a,I9ea63307,WMB22BE0001446,WMB22BE0001446,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:35:06
Se14b34f6,WMB22BE00077146411c7d05f1724f529f81152Motor North Output Vertical - 7714*,WMB22BE0001446,WMB22BE0001446,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:40:50
Sad97b258,WMB22BE00076516411c7d05f1724f529f81152Pump North Inboard Vertical - 7651*,WMB22BE0001580,WMB22BE0001580,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:41:44
Scee45fe7,WMB22BE00018246411c7d05f1724f529f81152Pump North Outboard Vertical - 1824*,WMB22BE0001824,WMB22BE0001824,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:43:01
Se22e0c4c,WMB22BE00001556411c7d05f1724f529f810c4Pump Outboard Horizontal - 0155*,WMB22BE0000155,WMB22BE0000155,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 08:58:32
Sd7715461,WMB22BE00030186411c7d05f1724f529f810c4Motor Inboard Vertical - 3018,WMB22BE0001564,WMB23BE0009727,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 09:28:30
Sa2559f5e,WMB22BE00008726411c7d05f1724f529f810d5Pump Inboard Vertical - 0872,WMB22BE0000872,WMB22BE0000872,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 10:05:13
,,,,,,,,,
Sf6a106de,WMB22BE00001526411c7d05f1724f529f8110dGearbox Inboard Horizontal - 0152*,WMB22BE0000152,WMB22BE0000152,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 10:29:04
S54625636,WMB22BE00015956411c7d05f1724f529f81114Gearbox Inboard Horizontal - 1595,WMB22BE0001595,WMB22BE0001595,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 10:36:15
S5bda9b9f,WMB22BE00015846411c7d05f1724f529f81130Gearbox Inboard Horizontal - 1584,WMB22BE0001584,WMB22BE0001584,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 10:48:18
Sacc7d3c2,WMB22BE00087996411c7d05f1724f529f81100Motor Inboard Vertical - 8799,WMB23BE0008799,WMB23BE0008799,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 10:54:08
S19a62b79,WMB22BE00076456411c7d05f1724f529f81100Gearbox  Vertical - 7645,WMB22BE0003098,WMB22BE0003098,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 11:02:52
Sdb65c124,WMB22BE00030986411c7d05f1724f529f81100Gearbox Outboard Vertical - 3098,WMB23BE0007645,WMB23BE0007645,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 11:04:51
Sfa27ae7e,Ib76568f4,WMB22BE0000259,WMB22BE0000259,,,,Done,norman.mcdonald@icareweb.com,2023-09-25 11:15:36
